timestamp,process_type,occupancy,machines_active,external_temp,solar_available,energy_used_kwh,idle_energy_kwh,equipment_age,phantom_load,forecast,machine_efficiency,waste_reason,ai_recommendations
2025-05-01 00:00:00,Weaving,37.76239763906159,7,21.999498316360057,High,78.75,24.506055929619496,5,0,Cloudy,0.75,Normal,No action needed.
2025-05-01 01:00:00,Spinning,66.37804369378767,6,34.43997544533649,None,54.0,9.07792820267733,2,0,Clear,0.9,Normal,No action needed.
2025-05-01 02:00:00,Weaving,7.749019746127971,5,30.495493205167783,High,70.125,32.34549995151388,3,0,Rain,0.85,Low Occupancy,No action needed.
2025-05-01 03:00:00,Weaving,79.00739364793806,9,32.150897038028766,High,87.74999999999999,9.210506036967173,7,0,Rain,0.6499999999999999,Normal,No action needed.
2025-05-01 04:00:00,Weaving,57.19563005285984,6,33.684660530243136,High,58.49999999999999,12.520278209538496,7,0,Cloudy,0.6499999999999999,Normal,No action needed.
2025-05-01 05:00:00,Spinning,59.3361319986691,5,25.17559963200034,Low,45.0,9.14937030029945,2,0,Clear,0.9,Normal,No action needed.
2025-05-01 06:00:00,Weaving,16.433315063525825,8,31.957999576221702,None,79.2,33.092407234843776,8,0,Clear,0.6,Low Occupancy,No action needed.
2025-05-01 07:00:00,Finishing,39.1220718353033,9,27.77354579378964,High,54.0,16.43704060446811,5,0,Rain,0.75,Normal,No action needed.
2025-05-01 08:00:00,Dyeing,40.93944421566995,17,21.491012873595416,None,255.0,75.30220862502081,8,0,Clear,0.6,Normal,Schedule maintenance for old machines.
2025-05-01 09:00:00,Spinning,39.042587948363725,7,34.13714687695234,Low,66.5,20.26833950716906,1,0,Rain,0.95,Normal,No action needed.
2025-05-01 10:00:00,Dyeing,42.073296337413964,11,26.219646434313244,High,233.75,67.70183490564743,3,0,Clear,0.85,Normal,No action needed.
2025-05-01 11:00:00,Weaving,57.76024358986117,7,22.391884918766035,Low,99.75,21.06707850955674,1,0,Clear,0.95,Normal,No action needed.
2025-05-01 12:00:00,Spinning,56.98932283480435,7,20.628583713734685,Low,56.0,12.042989606254784,4,0,Cloudy,0.8,Normal,No action needed.
2025-05-01 13:00:00,Spinning,40.68884656210051,11,28.207658460712594,Low,105.6,31.316289015210934,4,1,Clear,0.8,Phantom Load,Turn off machines during breaks.
2025-05-01 14:00:00,Dyeing,65.86118491291145,18,32.66807513020847,None,360.0,61.44986715675939,4,0,Clear,0.8,Normal,Shift dyeing to solar peak hours if possible.
2025-05-01 15:00:00,Finishing,77.93260767421893,16,27.1259567615395,None,121.6,13.416974534074894,1,0,Clear,0.95,Normal,No action needed.
2025-05-01 16:00:00,Finishing,6.896479048730598,9,33.84872065780541,High,57.024,26.545675893625933,8,1,Clear,0.6,Phantom Load,Turn off machines during breaks.
2025-05-01 17:00:00,Weaving,66.91035887777532,13,28.076723421160814,High,117.0,19.357440056501435,10,1,Clear,0.5,Phantom Load,Turn off machines during breaks.
2025-05-01 18:00:00,Weaving,38.54936331128685,5,25.335620285505698,None,52.5,16.130792130787203,6,0,Clear,0.7,Normal,No action needed.
2025-05-01 19:00:00,Dyeing,40.148276411936195,18,22.897897441824462,High,315.0,94.2664646512005,6,0,Cloudy,0.7,Normal,No action needed.
2025-05-01 20:00:00,Dyeing,75.82063894086093,12,29.406012688920768,None,210.0,25.388329112096024,6,0,Clear,0.7,Normal,No action needed.
2025-05-01 21:00:00,Finishing,41.81225090410522,16,30.163975534814373,Low,108.8,31.65413550816676,3,0,Cloudy,0.85,Normal,No action needed.
2025-05-01 22:00:00,Spinning,28.986731378677348,11,23.487328580099827,Low,85.79999999999998,30.464692238547407,7,1,Clear,0.6499999999999999,Phantom Load,Turn off machines during breaks.
2025-05-01 23:00:00,Weaving,61.371259496120544,13,24.181432414754273,Low,97.5,18.831510995641235,10,0,Cloudy,0.5,Normal,No action needed.
2025-05-02 00:00:00,Finishing,87.2777304883421,6,39.925073995158485,None,43.199999999999996,2.7480102145181067,5,1,Cloudy,0.75,Phantom Load,Turn off machines during breaks.
2025-05-02 01:00:00,Weaving,100.0,7,34.00715659945543,None,84.0,0.0,4,0,Cloudy,0.8,Normal,No action needed.
2025-05-02 02:00:00,Dyeing,64.5257653899775,7,27.44565533123486,None,96.25000000000001,17.07197540607333,9,0,Clear,0.55,Normal,No action needed.
2025-05-02 03:00:00,Weaving,76.94802865153278,10,28.968482859724947,None,120.0,13.831182809080328,4,0,Clear,0.8,Normal,No action needed.
2025-05-02 04:00:00,Weaving,75.39954719861586,11,34.418798485042586,High,140.25,17.251067526970623,3,0,Clear,0.85,Normal,No action needed.
2025-05-02 05:00:00,Weaving,85.36779044807804,10,27.861954493335208,None,135.0,9.876741447547323,2,0,Cloudy,0.9,Normal,No action needed.
2025-05-02 06:00:00,Dyeing,52.537616206992745,7,31.440083984183662,Low,199.5,47.34372783352474,1,1,Clear,0.95,Phantom Load,Turn off machines during breaks.
2025-05-02 07:00:00,Spinning,70.07194128289635,10,27.403174005108887,High,60.0,8.978417615131097,8,0,Clear,0.6,Normal,No action needed.
2025-05-02 08:00:00,Weaving,41.00961909642284,5,26.338440103125553,High,41.25,12.166766061362788,9,0,Cloudy,0.55,Normal,No action needed.
2025-05-02 09:00:00,Finishing,48.06205336874495,18,21.943529875415372,Low,100.8,26.176725102152545,6,0,Clear,0.7,Normal,No action needed.
2025-05-02 10:00:00,Spinning,77.6567532101878,13,34.049681679742186,High,65.0,7.261555206688965,10,0,Cloudy,0.5,Normal,No action needed.
